ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
233783a3-9f15-4b6d-8a17-9d6f32d5ed84,1971-05-17,,999-11-9340,S99990169,X57557233X,Ms.,Alycia285,Kozey370,,,S,white,irish,F,Agawam Town,641 Kihn Underpass,Weston,Massachusetts,
16616151-147a-4c02-bfbb-795bfa05cec4,1951-06-04,,999-84-8614,S99965217,X55400612X,Mr.,Fermin479,Morissette863,,,M,white,german,M,Milton,277 Schiller Bay,Harwich,Massachusetts,02645
06bb6e53-6aed-42f7-aa27-46cd4cd589de,2016-09-22,,999-41-1664,,,,Sung603,Quigley282,,,,asian,chinese,M,Lowell,746 Corkery Spur Unit 84,Longmeadow,Massachusetts,01106
451ed710-69d2-4b08-b47d-8094b902a670,1986-01-14,,999-74-4926,S99972101,X77572538X,Mr.,Caleb651,Gerlach374,,,M,white,american,M,Wellesley,812 Shields Crossroad Apt 82,Bedford,Massachusetts,01730
f5e398dd-4c9a-45a7-89e0-5dd28c3ba06f,1983-09-07,1996-12-02,999-93-8471,,,,Darcy899,Parker433,,,,white,irish,F,Dennis,803 Becker Skyway,Quincy,Massachusetts,02169
334c3328-dd26-47ef-8de4-f58bc82f56b4,1955-01-19,2015-09-02,999-36-6832,S99997606,X65306162X,Mr.,Jonathon205,Schimmel440,,,M,white,english,M,Boston,946 Batz Overpass,Quincy,Massachusetts,02169
6cb89507-f31e-42d6-a551-ce353b019445,1954-04-05,,999-88-2088,S99976903,X43115928X,Mrs.,Eliana466,Veum823,,McLaughlin530,M,white,irish,F,Pittsfield,1037 Denesik Arcade Unit 49,Marlborough,Massachusetts,01752
5603cf74-d693-4ecb-be30-6a68042d6e1a,1967-11-06,,999-94-9123,S99977907,X20221825X,Mrs.,Illa976,O'Keefe54,,Rice937,M,white,italian,F,Attleboro,241 Shields Wall Apt 97,Barnstable Town,Massachusetts,02601
ec64fd39-a547-45ac-8a29-95c9d4efc0dc,1998-08-17,,999-99-3768,S99947731,,Mr.,Neville893,Buckridge80,,,,hispanic,puerto_rican,M,Swampscott,626 Prohaska Corner Unit 49,Hamilton,Massachusetts,
14b5f0c6-9b43-486e-8eb4-b65e24241b65,1996-09-20,,999-86-6451,S99986844,X65976588X,Ms.,Iluminada398,Quigley282,,,,black,african,F,West Brookfield,763 Windler Path,Weymouth Town,Massachusetts,02188
