ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
f84aa6cb-b7db-4f73-9462-12467ce3b925,2016-03-01,,999-77-6937,,,,Debora709,Graham902,,,,white,italian,F,Greece,637 Deckow Loaf Suite 53,Whitesboro,New York,13492
85115d45-7785-4276-9bce-fdfe00f323f5,1971-06-17,,999-71-2392,S99970226,X21438739X,Mr.,Nicolás801,Palomo90,,,M,hispanic,puerto_rican,M,Harrison,936 Durgan Walk,North Tonawanda,New York,14120
de322b33-fde2-4abc-95b4-c2753d1bcd0d,2015-06-13,,999-39-4664,,,,Homero668,Iglesias873,,,,hispanic,puerto_rican,M,East Fishkill,1082 O'Hara Key Unit 77,Utica,New York,13413
4aa218d4-530b-42bb-a500-0d711f144ac8,1956-11-13,,999-90-4008,S99916057,X74899722X,Mrs.,Lala778,Ledner144,,McGlynn426,M,white,irish,F,Buffalo,1077 Gibson Fort,Sheldon,New York,
907e3c93-56bc-4177-9c0c-0f025afc8349,1966-04-22,,999-54-1374,S99989393,X67566464X,Mr.,Jerrod232,Runolfsdottir785,,,M,white,italian,M,Yonkers,469 Wintheiser Trafficway,Rouses Point,New York,12979
1a7aca9a-44fd-4115-8416-725e5dbb0151,1996-09-18,,999-94-3699,S99961023,X81178173X,Ms.,Belle514,Parker433,,,,white,english,F,New York,101 McCullough Mall Suite 21,Geneseo,New York,14454
56a11721-2708-48f6-a748-541a9db3594b,1918-12-11,1999-09-19,999-88-5152,S99982038,X23945778X,Mr.,Caleb651,Rutherford999,,,M,white,french_canadian,M,Yonkers,1004 Durgan Heights,Syracuse,New York,13120
e95d2e6f-f7cf-431b-9afe-955b6d944eaf,1996-09-23,,999-24-4354,S99935663,X10696935X,Mr.,Chauncey770,Rohan584,,,,white,irish,M,Tonawanda,503 Wisozk Tunnel Unit 87,Lincoln,New York,
87368326-6448-4ea2-8011-3682dd6c2888,2003-09-07,,999-78-9558,,,,Charles364,Welch179,,,,white,english,M,Greenville,1044 Kirlin Park,Gates,New York,14606
f77b193e-49a3-4133-a291-c51363349b2a,1947-06-19,1971-03-25,999-71-9764,S99996596,X88080462X,Mr.,Trenton748,Sipes176,,,,hispanic,mexican,M,Greece,681 Connelly Street,Plattsburgh,New York,12901
e7739f1c-ba2d-4923-b74a-f423463b1a0d,1992-08-22,,999-93-1795,S99945242,X72035120X,Ms.,Cherly215,Russel238,,,,white,french_canadian,F,Clifton Park,703 Waelchi Loaf,Wallkill,New York,12589
f87fb18c-c811-448a-bb3a-950dc68dd78c,1959-09-04,,999-36-9773,S99914993,X24133347X,Ms.,Mickey576,Doyle959,,,S,black,african,F,Rockville Centre,821 Kassulke Club,North Hills,New York,11030
53df7682-4264-40e3-a7de-993858f6e313,1968-08-19,,999-35-4968,S99954458,X49272575X,Ms.,Noelle559,Rosenbaum794,,,S,white,polish,F,Poughkeepsie,222 Schowalter Underpass,Hillsdale,New York,
4eec2d0f-ff31-4328-b18a-0d13c74e5548,1918-12-11,1981-08-26,999-71-7665,S99928132,X40336669X,Mr.,Ned189,Klocko335,,,M,white,french_canadian,M,Great Neck,757 Ritchie Glen,Syracuse,New York,13120
7271dd79-6c7c-4358-b522-0c1bd30eab2d,1955-04-17,2012-09-23,999-28-3762,S99921710,X18048038X,Mrs.,Jason347,Wunsch504,,Sawayn19,M,white,italian,F,Grand Island,211 Mueller Road Unit 7,Alabama,New York,
e469cfbd-8c95-4300-a425-bf7bbe4b7696,2006-10-13,,999-28-8608,,,,Ed239,Hane680,,,,white,irish,M,Spencerport,446 Schneider Haven Unit 31,Beekman,New York,
e2309ec5-04cf-4a9a-8ced-8c62e3580799,1947-06-19,2011-03-10,999-74-7187,S99946560,X15728232X,Mr.,Man114,Hayes766,,,M,hispanic,mexican,M,Cairo,768 Hilpert Pathway Unit 70,Plattsburgh,New York,12901
27c20a78-5f22-4081-a742-bd6b79ef1200,1952-03-11,2015-10-20,999-69-8427,S99999676,X45578208X,Mr.,Nathanael908,Kunde533,,,M,hispanic,puerto_rican,M,Larchmont,825 Nienow Knoll,New York,New York,10001
d6e2b328-4a80-478e-ad61-49f4ceb805b0,1937-06-17,2015-06-04,999-88-4009,S99980796,X34833918X,Mrs.,Guillermina633,Tafoya874,,Montero62,M,hispanic,puerto_rican,F,New York,960 Cartwright Village Suite 99,Yonkers,New York,10583
b045f13e-a1ac-47f0-a6d6-69cb1db2c472,1954-05-22,2012-02-25,999-85-7719,S99962111,X22071137X,Mrs.,Eleni953,Beahan375,,Lind531,M,white,english,F,Buffalo,353 Walker Wynd,Mina,New York,
e8b8fc54-4f5e-435f-8dfa-61de4e01284d,1989-06-06,,999-34-9918,S99949592,X6550904X,Mr.,Oscar384,Hoeger474,,,M,black,west_indian,M,Cohoes,310 Wyman Underpass Apt 17,Spafford,New York,
cc6a5d6f-b7e3-4c1c-9b56-5774fca6bbb2,1955-04-17,,999-37-2495,S99975430,X57417651X,Ms.,Alexia646,Kassulke119,,,S,white,italian,F,Niskayuna,644 Mueller Green,Alabama,New York,
60e95fc2-678e-4eab-8dd4-87759c4b470d,1978-02-21,,999-21-1943,S99915247,X36932474X,Mrs.,Halley419,Lowe577,,Langosh790,M,black,african,F,West Seneca,350 Rutherford Port Suite 59,North Tonawanda,New York,14120
71d038ed-1de1-418b-b845-a9992c59b5e0,1918-12-11,2005-04-27,999-42-8537,S99925632,X24287999X,Mr.,Jefferson174,Frami345,,,S,white,french_canadian,M,Rome,204 Gottlieb Ramp Apt 94,Syracuse,New York,13120
af262898-af4f-48a5-b64e-653e2820d32b,1994-12-07,,999-92-1447,S99944814,X2971599X,Mr.,Robt687,Dicki44,,,,white,greek,M,Syracuse,820 Deckow Walk,Newfield,New York,
